"notedarray","id","name","url","price","image_link","category"
NULL,30,"Winter Jackets For Women Girls Coats 2022 Womens Waistcoat Outwear Solid Keep Warm Long Sleeve Hoodie Tops Cotton Lon","http://amazon.com/Winter-Jackets-Coats-2022-Waistcoat/dp/B0B48PJQ4V/ref=sr_1_30?keywords=long+sleeve+outwear&qid=1660075014&sr=8-30","$19.99","https://m.media-amazon.com/images/I/715Hjf23y4L._AC_UL320_.jpg","long sleeve outwear"
NULL,31,"Generic Andongnywell Womens Solid Color Casual Long Sleeve Blazer Jacket Cardigan Work Blazer with Pockets Outwear (Purple 1,XX-Large)","http://amazon.com/Andongnywell-Cardigan-Pockets-Outwear-XX-Large/dp/B08X75YF3K/ref=sr_1_31?keywords=long+sleeve+outwear&qid=1660075014&sr=8-31","$10.99","https://m.media-amazon.com/images/I/41eiOyz7mAL._AC_UL320_.jpg","long sleeve outwear"
NULL,32,"Andongnywell Women's Blazers Long Sleeve Button Lapel Work Office Blazer Jacket Suit Pockets Overcoats","http://amazon.com/Andongnywell-Womens-Blazers-Pockets-Overcoats/dp/B08NPFFF13/ref=sr_1_32?keywords=long+sleeve+outwear&qid=1660075014&sr=8-32","$5.69","https://m.media-amazon.com/images/I/61+DtYPmBFL._AC_UL320_.jpg","long sleeve outwear"
NULL,33,"Andongnywell Womens Casual Blazers Open Front Blazers Long Sleeve Work Office Jackets Blazer Outwear","http://amazon.com/Andongnywell-Womens-Blazers-Jackets-Outwear/dp/B08NXKDYY8/ref=sr_1_33?keywords=long+sleeve+outwear&qid=1660075014&sr=8-33","$10.99","https://m.media-amazon.com/images/I/71J-eTlsXRL._AC_UL320_.jpg","long sleeve outwear"
NULL,34,"Linksoul Double Knit Quarter-Zip","http://amazon.com/Linksoul-Double-Knit-Quarter-Zip-Heather/dp/B08TMC14JX/ref=sr_1_34?keywords=long+sleeve+outwear&qid=1660075014&sr=8-34","None","https://m.media-amazon.com/images/I/81+IslgDlJL._AC_UL320_.jpg","long sleeve outwear"
NULL,35,"TUNUSKAT Womens Business Attire Blazer Fashion Aesthetic Print Double Breasted Suits Jacket Lapel Long Sleeve Outwear Tops","http://amazon.com/TUNUSKAT-Business-Fashion-Aesthetic-Breasted/dp/B09PHLVM18/ref=sr_1_35?keywords=long+sleeve+outwear&qid=1660075014&sr=8-35","$26.58","https://m.media-amazon.com/images/I/61PH-8F5hGL._AC_UL320_.jpg","long sleeve outwear"
NULL,36,"Andongnywell Womens Open Front Blazer Long Sleeve Slim Fit Work Office Cardigan Jacket with Pockets Overcoats Outwears","http://amazon.com/Andongnywell-Cardigan-Overcoats-Outwears-XX-Large/dp/B08T7KY58C/ref=sr_1_36?keywords=long+sleeve+outwear&qid=1660075014&sr=8-36","$10.79","https://m.media-amazon.com/images/I/61Ur+uoMWjL._AC_UL320_.jpg","long sleeve outwear"
NULL,37,"Generic Andongnywell Women's Solid Color Casual Long Sleeve Blazer Jacket Cardigan Work Blazer with Pockets Outwear (Rose 1,Medium)","http://amazon.com/Andongnywell-Womens-Cardigan-Pockets-Outwear/dp/B08X6PFJL2/ref=sr_1_37?keywords=long+sleeve+outwear&qid=1660075014&sr=8-37","$10.99","https://m.media-amazon.com/images/I/41+iRXqPawL._AC_UL320_.jpg","long sleeve outwear"
NULL,38,"Simple Joys by Carter's Unisex Babies' Long-Sleeve Bodysuit, Pack of 5","http://amazon.com/Simple-Joys-Carters-Long-Sleeve-Bodysuit/dp/B01M35CVS0/ref=sr_1_38?keywords=long+sleeve+outwear&qid=1660075014&sr=8-38","None","https://m.media-amazon.com/images/I/91iD95ZoCsL._AC_UL320_.jpg","long sleeve outwear"
NULL,39,"Andongnywell Women's Casual Button Blazer Office Work Long Sleeve Blazer Solid Color with Pockets Outwear","http://amazon.com/Andongnywell-Jackets-Pockets-Outwear-4X-Large/dp/B08X6CLVZY/ref=sr_1_39?keywords=long+sleeve+outwear&qid=1660075014&sr=8-39","$10.99","https://m.media-amazon.com/images/I/71wGLeR7XiL._AC_UL320_.jpg","long sleeve outwear"
NULL,40,"Generic Andongnywell Women's Solid Color Casual Long Sleeve Blazer Jacket Cardigan Work Blazer with Pockets Outwear (Blue 1,XX-Large)","http://amazon.com/Andongnywell-Cardigan-Pockets-Outwear-XX-Large/dp/B08X68RBFV/ref=sr_1_40?keywords=long+sleeve+outwear&qid=1660075014&sr=8-40","$10.99","https://m.media-amazon.com/images/I/41TqugREJ1L._AC_UL320_.jpg","long sleeve outwear"
NULL,41,"Andongnywell Women's Long Sleeve Solid Color Turn-Down Collar Coat Business Cardigan Jacket Suit Blazer Tops Outwear (White 1,Small)","http://amazon.com/Andongnywell-Turn-Down-Business-Cardigan-Outwear/dp/B08X717Q63/ref=sr_1_41?keywords=long+sleeve+outwear&qid=1660075014&sr=8-41","$10.99","https://m.media-amazon.com/images/I/61m4kz-WWpL._AC_UL320_.jpg","long sleeve outwear"
NULL,42,"Quilted Cotton Jackets for Women Lightweight Full Zip Up Bomber Jacket Long Sleeve Warm Winter Outwears","http://amazon.com/Quilted-Jackets-Lightweight-Winter-Outwears/dp/B09MFQPVLP/ref=sr_1_42?keywords=long+sleeve+outwear&qid=1660075014&sr=8-42","$31.99","https://m.media-amazon.com/images/I/61tnbd2uZpL._AC_UL320_.jpg","long sleeve outwear"
NULL,43,"Women's Long Sleeve Cable Knit Cardigan Sweaters Teen Girls Button Down Open Front Fall Sweater Coat Outwear","http://amazon.com/Womens-Cardigan-Sweaters-Sweater-Outwear/dp/B09K3LX385/ref=sr_1_43?keywords=long+sleeve+outwear&qid=1660075014&sr=8-43","$26.99","https://m.media-amazon.com/images/I/61Vc8t5zESL._AC_UL320_.jpg","long sleeve outwear"
NULL,44,"Gerber baby-girls 3-pack Long-sleeve Onesies Bodysuit","http://amazon.com/Gerber-6-Pack-Long-Sleeve-Onesies-Bodysuit/dp/B07GFPRG6D/ref=sr_1_44?keywords=long+sleeve+outwear&qid=1660075014&sr=8-44","None","https://m.media-amazon.com/images/I/51YAFKD+EpL._AC_UL320_.jpg","long sleeve outwear"
NULL,45,"Women'S Street Long Sleeve Coat Sweatshirts Hooded Zipper Solid Color Coat Casual Warm Outwear Womens Black Sweatshirt","http://amazon.com/WomenS-Street-Sweatshirts-Outwear-Sweatshirt/dp/B0B27SQZ8V/ref=sr_1_45?keywords=long+sleeve+outwear&qid=1660075014&sr=8-45","$16.10","https://m.media-amazon.com/images/I/61z4+u8S8RL._AC_UL320_.jpg","long sleeve outwear"
NULL,46,"Dokotoo Womens 2022 Simple Crewneck Long Sleeve Casual Solid & Tie Dye Thin Pullover Sweatshirts Tops Shirts","http://amazon.com/Dokotoo-Sweatshirt-Sweatshirts-Pullovers-Outerwear/dp/B07VSPNCN7/ref=sr_1_46?keywords=long+sleeve+outwear&qid=1660075014&sr=8-46","None","https://m.media-amazon.com/images/I/61LGIPDQG3L._AC_UL320_.jpg","long sleeve outwear"
